BT2:1
BT3:1
BT4:1
BT5:1
BT6:1
BT7:1
BT8:1
BT9:1
G***:2
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J20:1
J3:1
J4:1
J7:1
J8:1
J9:1
P1:1
P2:1
P3:1
P4:1
P5:1
P6:1
